Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Thread Group:Login Request,350,26272,395,45996,9141.04,0.000%,2.10460,0.99,0.69,483.0
Thread Group:AddSkill-Request,350,245,54,653,129.85,2.857%,2.11207,0.42,1.31,205.4
Thread Group:updateSkill Request,350,334,24,1886,185.13,2.857%,2.10760,0.42,1.36,205.4
Thread Group:DeleteSkill-Request,350,226,20,684,122.60,2.857%,2.10548,0.40,1.21,194.7
Thread Group:AddEducation-Request,350,202,16,650,103.06,2.857%,2.10557,0.42,1.44,205.4
Thread Group:UpdateEducation-Request,350,199,31,926,110.53,2.857%,2.10321,0.42,1.54,205.4
Thread Group:DeleteEducation-Request,350,147,15,513,84.79,2.857%,2.10315,0.55,1.19,269.5
Thread Group:addCertufication-Request,350,179,7,623,97.73,2.857%,2.10315,0.42,1.39,205.4
Thread Group:DeleteCertificate-Request,350,198,20,801,112.18,2.857%,2.09911,0.44,1.20,216.1
Thread Group:shareSkill-Request,350,283,27,2071,217.93,2.857%,2.09797,0.45,2.83,221.9
Thread Group:viewShareSkill-Request,350,249,14,1244,190.60,0.000%,2.09465,2.88,1.13,1407.7
Thread Group:ToggleDisable-Request,700,304,16,2081,254.82,2.857%,4.16890,0.77,2.33,188.4
Thread Group:deleteShareSkill-Request,350,384,17,3306,347.92,2.857%,2.08939,0.40,1.18,194.7
TOTAL,4900,2109,7,45996,7135.54,2.449%,28.79389,8.82,18.42,313.6
